property_name,property_type,property_design,distance_to_coastline,area_squad,area_distance_to_airport,airport_pickup_price_idr,area_airport_name,region_id,unit_id,average_baseline_price,number_of_bookings,bedroom,bathroom,beds,capacity,ac,balcony,beachfront,breakfast,building_staff,cable_tv,essentials,garden,gym,hair_dryer,hanger,heating,hot_water,kitchen,linens,lock,luggage_drop_off,parking,pool,private_entrance,shampoo,tv,washer,wifi,workspace,area_name
Double D Guest House,4.0,0.0,1173.9868,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0,UN0026,388196.7138605442,98,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,Canggu
Double D Guest House,4.0,0.0,1173.9868,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0,UN0027,432090.9090909091,33,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,Canggu
Kubu Pande Homestay,4.0,2.0,1173.9868,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0,UN1359,432767.3091139734,122,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,Canggu
Kubu Pande Homestay,4.0,2.0,1173.9868,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0,UN1360,543905.9044444445,75,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,Canggu
Kubu Pande Homestay,4.0,2.0,1173.9868,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0,UN1361,280109.3933333333,15,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,Canggu
Kubu Pande Homestay,4.0,2.0,1173.9868,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0,UN1362,274719.9063873625,52,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,Canggu
Kubu Pande Homestay,4.0,2.0,1173.9868,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0,UN1363,309129.9979437228,22,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,Canggu
Kubu Pande Homestay,4.0,2.0,1173.9868,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0,UN1364,307812.47181259585,62,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,Canggu
Comeback Guesthouse,4.0,0.0,1173.9868,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0,UN0219,388470.2331037437,187,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,Canggu
Comeback Guesthouse,4.0,0.0,1173.9868,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0,UN0220,365421.4452580143,68,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,Canggu
Comeback Guesthouse,4.0,0.0,1173.9868,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0,UN0221,426626.7929253611,89,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,Canggu
Comeback Guesthouse,4.0,0.0,1173.9868,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0,UN0222,612650.5188834153,29,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,Canggu
Comeback Guesthouse,4.0,0.0,1173.9868,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0,UN0224,414444.81157627865,45,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,Canggu
Comeback Guesthouse,4.0,0.0,1173.9868,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0,UN0225,378116.84896780254,99,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,Canggu
Comeback Guesthouse,4.0,0.0,1173.9868,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0,UN0226,421186.2499355159,48,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,Canggu
Comeback Guesthouse,4.0,0.0,1173.9868,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0,UN0227,442775.1339215686,34,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,Canggu
Comeback Guesthouse,4.0,0.0,1173.9868,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0,UN0228,397673.4225721153,64,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,Canggu
Lebak Guesthouse,4.0,0.0,1173.9868,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0,UN0468,756312.3636586427,128,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,Canggu
Lebak Guesthouse,4.0,0.0,1173.9868,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0,UN0469,786288.4117269573,121,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,Canggu
Lebak Guesthouse,4.0,0.0,1173.9868,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0,UN0470,763295.8359117062,68,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Canggu
Lebak Guesthouse,4.0,0.0,1173.9868,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0,UN0471,668335.6912600385,102,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,Canggu
Lebak Guesthouse,4.0,0.0,1173.9868,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0,UN0472,703472.1962743029,81,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,Canggu
Lebak Guesthouse,4.0,0.0,1173.9868,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0,UN0473,772586.8252899783,60,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Canggu
Lebak Guesthouse,4.0,0.0,1173.9868,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0,UN0474,1070952.5143907713,36,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,Canggu
Lebak Guesthouse,4.0,0.0,1173.9868,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0,UN0475,1139997.0901290325,31,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,Canggu
Lebak Guesthouse,4.0,0.0,1173.9868,2.0,60.0,325000.0,Ngurah Rai (DPS),1.0,UN0476,458613.4336612903,31,1.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,Canggu
