Monthly report from 2023-09-01 to 2023-09-30
Listing ID,Listing title,Internal name,Region,Currency,Bookings,Bookings YoY,Booking value,Booking value YoY,Nights booked,Nights booked YoY,Average daily rate,Average daily rate YoY,Average length of stay,Average length of stay YoY,Average booking window,Average booking window YoY,View to contact rate,View to contact rate YoY,Contact to book rate,Contact to book rate YoY
"696637522460154617","Mock Property Room 2 Test","","Yogyakarta","SGD","0","","0","","0","","","","0","","","","","","",""
"44106402","Surf's Retreat: Minutes from Bingin Beach","Bingin Sun & Moon Villas - (Standard)","Bali","SGD","0","","0","","0","","","","0","","","","","","",""
"39637584","Sunny Uluwatu Cottages with Fast Wifi + Fresh Pool","Uluwatu Kayana Bungalows - 2","Bali","SGD","0","","0","","0","","","","0","","","","","","",""
"41945741","Digital Nomad Room by Bukit Vista  | sterilized","Asri Village-2","Bali","SGD","0","'-100%","0","'-100%","0","'-100%","","","0","'-100%","","","","","",""
"47416028","ATRA Bambulogy • Alluring Bamboo Villa for Group","OFFBOARD Atra 5BR Vit2,Ar,At","Bali","SGD","0","","0","","0","","","","0","","","","","","",""
"743045318174537800","Nusa Dua's Tranquil Sanctuary with Immense Garden","Green D'Mel Nusa Dua - Suite 303","Bali","SGD","0","","0","","0","","","","0","","","","","","",""
"614114013428578308","Soothing Sound of the Waves in a Beachfront Cabin","Kukuh Penida Village - Room 3","Bali","SGD","14","180%","1135.51","105.83%","30","100%","37.85","39.97%","2.14","'-23.47%","0","","","","",""
"53052217","Relaxing Lumbung House w/ Paddy View +Pool in Ubud","The Lumbung House - 3","Bali","SGD","0","'-100%","0","'-100%","0","'-100%","","","0","'-100%","","","","","",""
"19200309","Luxuriant Tropical Cabin with Pool in Balangan","Dinar Hills B","Bali","SGD","0","'-100%","0","'-100%","0","'-100%","","","0","'-100%","","","","","",""
"27822522","Hidden Breeze Guesthouse with Spacious Garden #4","Breeze Hidden Village - 4","Bali","SGD","0","'-100%","0","'-100%","0","'-100%","","","0","'-100%","","","","","",""
"18938163","Amusing Guesthouse, Walkable to Canggu Hustle","Pondok Lulik - 09  (Deluxe downstairs)","Bali","SGD","0","'-100%","0","'-100%","0","'-100%","","","0","'-100%","","","","","",""
"35992115","Beachfront Cabin w/ Pool near Dive Center @ Penida","Pi Karya Beach - Room 1 Bawah","Bali","SGD","0","","0","","0","","","","0","","","","","","",""
"888784633494420971","Cozy Retreat in the Rustic Wooden Room in Bedugul","Four Monkeys Wooden 1","Bali","SGD","11","","527.53","","20","","26.38","","1.82","","0.35","","3.04%","","80.77%",""
"20840745","Monthly Balinese Guesthouse for Remote Working","Puri Kelapa - B1 (Twin downstairs)","Bali","SGD","0","'-100%","0","'-100%","0","'-100%","","","0","'-100%","","","","","",""
"21416287","Lighthouse Lodge on Uluwatu Cliff and Beaches #3BR","The Gong - 3BR","Bali","SGD","0","","0","","0","","","","0","","","","","","",""
"808916201568521297","Modest Refreshing Room at Uluwatu, 3 min to Beach","The Gong - 108 (Twin)","Bali","SGD","0","","0","","0","","","","0","","","","","","",""
"34400784","Seaview Guesthouse w/ Pleasant Breakfast in Penida","Poling Sea View 2BR","Bali","SGD","8","","492.13","","10","","49.21","","1.62","","0","","","","",""
"21600619","Bukit Vista | Comfortable Room for Group @Uluwatu","The Gong - 4BR","Bali","SGD","0","'-100%","0","'-100%","0","'-100%","","","0","'-100%","","","","","",""
"31762886","Simple Cabin Near Local Restaurant @ Penida Island","Kinton Guesthouse - Room 4","Bali","SGD","0","","0","'-100%","0","'-100%","","","0","","","","","","",""
"32055754","Wake Up by Sunrise View in Penida Bungalow","Goa Giri Hill Bungalow - Standard 1","Bali","SGD","0","'-100%","0","'-100%","0","'-100%","","","0","'-100%","","","","","",""
"19835149","Bukit Vista | Tropical Room in Canggu Rice Paddies","Kakol Homestay - 2","Bali","SGD","0","","0","","0","","","","0","","","","","","",""
"34398760","Breathtaking Ocean View Cabin w/ Wi-Fi & Breakfast","Poling Sea View - 1","Bali","SGD","8","","437.45","","18","","24.3","","2.25","","0","","","","",""
"777772134322378548","Fascinating 2BR Private Villa w/ Pool in Canggu","Me Villa - A ( 2BR )","Bali","SGD","0","","0","","0","","","","0","","","","","","",""
"7151685","Limestone Hobbit Village Cabin by Balangan beach#4","LaJoya1 Standard Bungalow #4","Bali","SGD","0","","0","","0","","","","0","","","","","","",""
"49492697","Fresh Greenery Guesthouse in Canggu by Bukit Vista","D'Tegal GH - 2","Bali","SGD","0","","0","","0","","","","0","","","","","","",""
"729154589573614057","Experience Romantic Getaway in Dreamy Tree House","Bird Hills - Entire Place","Bali","SGD","0","","0","","0","","","","0","","","","","","",""
