Monthly report from 2024-03-01 to 2024-03-31
Listing ID,Listing title,Internal name,Region,Currency,Bookings,Bookings YoY,Booking value,Booking value YoY,Nights booked,Nights booked YoY,Average daily rate,Average daily rate YoY,Average length of stay,Average length of stay YoY,Average booking window,Average booking window YoY,View to contact rate,View to contact rate YoY,Contact to book rate,Contact to book rate YoY
"696637522460154617","Mock Property Room 2 Test","","Yogyakarta","SGD","0","","0","","0","","","","0","","","","","","",""
"44106402","Surf's Retreat: Minutes from Bingin Beach","Bingin Sun & Moon Villas - (Standard)","Bali","SGD","29","2800%","5464.99","1344.63%","84","1580%","65.06","17.4%","3.03","'-39.31%","0.33","'-99.58%","2.79%","'-73.48%","53.05%","653.29%"
"39637584","Sunny Uluwatu Cottages with Fast Wifi + Fresh Pool","Uluwatu Kayana Bungalows - 2","Bali","SGD","0","","0","","0","","","","0","","","","","","",""
"41945741","Digital Nomad Room by Bukit Vista  | sterilized","Asri Village-2","Bali","SGD","0","'-100%","0","'-100%","0","'-100%","","","0","'-100%","","","","","",""
"47416028","ATRA Bambulogy • Alluring Bamboo Villa for Group","OFFBOARD Atra 5BR Vit2,Ar,At","Bali","SGD","0","","0","","0","","","","0","","","","","","",""
"743045318174537800","Nusa Dua's Tranquil Sanctuary with Immense Garden","Green D'Mel Nusa Dua - Suite 303","Bali","SGD","0","","0","","0","","","","0","","","","","","",""
"614114013428578308","Soothing Sound of the Waves in a Beachfront Cabin","Kukuh Penida Village - Room 3","Bali","SGD","0","'-100%","0","'-100%","0","'-100%","","","0","'-100%","","","","","",""
"53052217","Relaxing Lumbung House w/ Paddy View +Pool in Ubud","The Lumbung House - 3","Bali","SGD","0","","0","","0","","","","0","","","","","","",""
"19200309","Luxuriant Tropical Cabin with Pool in Balangan","Dinar Hills B","Bali","SGD","0","","0","","0","","","","0","","","","","","",""
"27822522","Hidden Breeze Guesthouse with Spacious Garden #4","Breeze Hidden Village - 4","Bali","SGD","0","","0","'-100%","0","'-100%","","","0","","","","","","",""
"18938163","Amusing Guesthouse, Walkable to Canggu Hustle","Pondok Lulik - 09  (Deluxe downstairs)","Bali","SGD","0","'-100%","0","'-100%","0","'-100%","","","0","'-100%","","","","","",""
"35992115","Beachfront Cabin w/ Pool near Dive Center @ Penida","Pi Karya Beach - Room 1 Bawah","Bali","SGD","0","","0","","0","","","","0","","","","","","",""
