unit_id,average_baseline_price,number_of_bookings,property_id,bedroom,bathroom,beds,capacity,ac,balcony,beachfront,breakfast,building_staff,cable_tv,essentials,garden,gym,hair_dryer,hanger,heating,hot_water,kitchen,linens,lock,luggage_drop_off,parking,pool,private_entrance,shampoo,tv,washer,wifi,workspace,property_type,property_design,lat,lng,area_id,area_name
UN0026,318635.2804748905,14,PR0017,1,1,1,2,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,1,1,4,0,-8.6562111,115.1328668,A0003,Canggu
UN0027,266803.5418657769,8,PR0017,1,1,1,2,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1,1,1,0,0,0,1,1,4,0,-8.6562111,115.1328668,A0003,Canggu
UN0153,635729.266773839,26,PR0170,1,1,1,2,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1,1,4,0,,,A0008,Bingin
UN0154,465506.392683271,20,PR0170,1,1,1,2,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1,1,4,0,,,A0008,Bingin
UN0155,528396.1131025641,26,PR0170,1,1,1,2,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,1,1,1,1,1,0,0,0,1,1,4,0,,,A0008,Bingin
UN0156,539729.5956245421,13,PR0170,1,1,1,2,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,1,1,1,1,1,0,0,0,1,1,4,0,,,A0008,Bingin
UN0157,536638.6475037594,19,PR0170,1,1,1,2,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,1,1,1,1,1,0,0,0,1,1,4,0,,,A0008,Bingin
UN0158,518742.7524209799,23,PR0170,1,1,1,3,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,1,1,1,1,0,0,0,1,1,4,0,,,A0008,Bingin
UN0159,653744.0771543385,23,PR0170,1,1,1,2,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,1,1,1,1,1,0,0,0,1,1,4,0,,,A0008,Bingin
UN0161,645090.8425710252,34,PR0170,1,1,1,2,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,1,1,1,1,1,0,0,0,1,1,4,0,,,A0008,Bingin
UN0162,627175.2979211129,40,PR0170,1,1,1,2,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,1,1,1,0,0,0,1,1,4,0,,,A0008,Bingin
UN0165,734320.2441122115,190,PR0120,1,2,1,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,4,0,-8.805646,115.113378,A0008,Bingin
UN0219,382629.4766697678,24,PR0126,1,1,1,2,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,1,1,0,0,0,1,1,4,0,-8.6464854,115.1504805,A0003,Canggu
UN0221,496517.173169455,21,PR0126,1,1,1,2,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,1,1,0,0,0,1,1,4,0,-8.6464854,115.1504805,A0003,Canggu
UN0222,406826.5706738261,78,PR0126,1,1,1,2,1,1,0,0,1,1,1,1,0,0,0,0,1,0,1,0,1,1,1,1,0,1,0,1,1,4,0,-8.6464854,115.1504805,A0003,Canggu
