property_id,unit_id,average_baseline_price,bedroom,bathroom,beds,capacity,ac,balcony,beachfront,breakfast,building_staff,cable_tv,essentials,garden,gym,hair_dryer,hanger,heating,hot_water,kitchen,linens,lock,luggage_drop_off,parking,pool,private_entrance,shampoo,tv,washer,wifi,workspace,lat,lng,property_name,property_direction,property_type,property_design,area_id,distance_to_coastline
PR0017,UN0026,382585.1004521964,1,1,1,2,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,1,1,-8.6562111,115.1328668,Double D Guest House,"Double''D Guest House, Jalan Nelayan, Canggu, Kabupaten Badung, Bali",4,0,A0003,
PR0045,UN1518,484739.10964617215,1,1,1,2,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,1,-8.698719,115.1638456,Melin Inn,"Melin Inn, Legian, Kabupaten Badung, Bali",3,0,A0015,
PR0051,UN1471,707956.6111111111,3,2,3,6,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,1,,,Omah JeTeHa,"Jl. Sorowajan Baru, perum Jogja Town House 3 no. B-1",1,0,A0044,
PR0055,UN1417,740319.584875541,3,2,3,7,1,1,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,1,0,1,0,1,1,0,1,-7.8317661,110.3806358,Griya Wirosaban,"Jl. Ki Ageng Pemanahan, Kragilan, Tamanan, Kec. Banguntapan, Kabupaten Bantul, Daerah Istimewa Yogyakarta 55191",1,0,A0001,
PR0065,UN1392,2154133.2464419478,8,8,8,6,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,1,1,1,1,1,0,1,1,,,Pendopo 26,,2,0,A0001,
PR0070,UN1359,356952.5649070211,1,,,,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,1,,,Kubu Pande Homestay,"Jl. Nelayan No.16, Canggu, Kec. Kuta Utara, Kabupaten Badung, Bali 80361",4,2,A0003,
PR0120,UN0165,785923.3582842364,1,2,1,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,-8.805646,115.113378,Bingin Ombak,"54V7+Q8H, Pecatu, South Kuta, Badung Regency, Bali 80361",4,0,A0008,15.6035
PR0126,UN0219,374917.03929792735,1,1,1,2,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,1,1,1,0,0,0,1,1,-8.6464854,115.1504805,Comeback Guesthouse,"Come back guest house by Bali Sunny Cabin, Jalan Pura Beten Kepuh, Tibubeneng, Kabupaten Badung, Bali",4,0,A0003,
PR0135,UN0355,801411.8219537815,1,1,1,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,-8.8159092,115.1032015,Kampung Jimba,"Kampung Jimba, Jalan Umpeng Sari, Pecatu, Kabupaten Badung, Bali",5,0,A0013,
PR0140,UN0468,510878.45833048574,1,1,1,2,1,0,0,1,1,0,1,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,,,Lebak Guesthouse,"Jl. Nelayan No.22D, Canggu, Kec. Kuta Utara, Kabupaten Badung, Bali 80361",4,0,A0003,
PR0160,UN0347,584718.0197286308,1,1,1,2,1,0,0,0,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1,0,0,1,0,1,1,-8.6509795,115.1367864,Kakol Guesthouse,"Kakol Homestay by Bukit Vista, Jalan Pantai Batu Bolong, Canggu, Kabupaten Badung, Bali",4,0,A0003,
PR0170,UN0153,605612.8883594741,1,1,1,2,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1,1,,,Bingin Surf Left,"54R8+JXR, Pecatu, South Kuta, Badung Regency, Bali 80361",4,0,A0008,
PR0172,UN0173,566867.6996240236,1,1,1,2,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,1,-8.8195056,79.2305121,Bobby''s Place,"Bobby''s Surf Place, Jalan Pantai Suluban, Pecatu, Kabupaten Badung, Bali",4,0,A0002,
PR0181,UN0263,390062.72291759856,1,1,1,2,1,1,0,0,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,,,Dinar Hills Villa,"Jl. Melasti II, Kutuh, Kec. Kuta Sel., Kabupaten Badung, Bali 80361",4,0,A0011,
PR0188,UN0382,583219.2599623564,1,1,1,2,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,-8.8284397,115.0879669,Kubu Nyang Nyang,"Jl. Raya Uluwatu Pecatu No.500, Pecatu, Kuta Sel., Kabupaten Badung, Bali 80361",4,3,A0002,307.225
PR0196,UN0672,5330189.587731917,3,3,3,8,1,1,1,0,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,-8.8361902,115.2066422,NDBV Lot 6,"Jl. Raya Nusa Dua Selatan, Sawangan, Nusa Dua, Kabupaten Badung, Bali 80363",2,0,A0012,79.6941
PR0197,UN0688,345024.68099566386,1,1,1,2,1,1,1,0,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,-8.8122207,115.1005014,Padang Padang View,"Padang Padang View by Bukit Vista, Jalan Labuansait, Pecatu, Kabupaten Badung, Bali",4,0,A0013,
PR0229,UN0236,603089.2478461018,1,1,1,2,1,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,,,D''Padang,"Jl. Pantai Padang-Padang No.909x, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali 80361",4,0,A0013,
PR0234,UN0333,515001.20079641,1,1,1,2,1,1,0,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,,,Jepun Sari,,4,0,A0008,
